Inform 6.42 for Linux (10th February 2024)
"spanish_final/messages_spanish_master.h", line 259: Warning:  This statement can never be reached
>         if(EsFemenino(noun)) print
"spanish_final/messages_spanish_master.h", line 271: Warning:  This statement can never be reached
>                 ~~IndirectlyContains(noun, player)) {
"spanish_final/messages_spanish_master.h", line 301: Warning:  This statement can never be reached
>         ConcordanciaEdo(noun);
"spanish_final/messages_spanish_master.h", line 306: Warning:  This statement can never be reached
>         ConcordanciaEdo(noun);
"spanish_final/messages_spanish_master.h", line 311: Warning:  This statement can never be reached
>         ConcordanciaEdo(noun);
"spanish_final/messages_spanish_master.h", line 316: Warning:  This statement can never be reached
>         ConcordanciaEdo(noun);
"spanish_final/messages_spanish_master.h", line 321: Warning:  This statement can never be reached
>         ConcordanciaEdo(noun);
"spanish_final/messages_spanish_master.h", line 335: Warning:  This statement can never be reached
>         if(EsFemenino(noun)) print
"spanish_final/messages_spanish_master.h", line 341: Warning:  This statement can never be reached
>         EstaOEstanCerrado(p_arg_1);
"spanish_final/messages_spanish_master.h", line 349: Warning:  This statement can never be reached
>         EstaEstan(noun);
"spanish_final/verbos_infinitivos.h", line 507: Warning:  Local variable "infinitivo" declared but not used
"spanish_final/verbos_infinitivos.h", line 507: Warning:  Local variable "accion" declared but not used
"spanish_final/verbos_irregulares.h", line 16: Error:  Character can only be used if declared in advance as part of 'Zcharacter table': (ISO Latin1) $c3, i.e., '√'
>     "era" "eras" "era" "√©ramos" "erais"
"spanish_final/verbos_irregulares.h", line 16: Error:  Character can only be used if declared in advance as part of 'Zcharacter table': (ISO Latin1) $c3, i.e., '√'
>     "ser√©" "ser√°s"
"spanish_final/verbos_irregulares.h", line 16: Error:  Character can only be used if declared in advance as part of 'Zcharacter table': (ISO Latin1) $c3, i.e., '√'
>     "ser√©" "ser√°s" "ser√°"
"spanish_final/verbos_irregulares.h", line 16: Error:  Character can only be used if declared in advance as part of 'Zcharacter table': (ISO Latin1) $c3, i.e., '√'
>     "ser√©" "ser√°s" "ser√°" "seremos"
"spanish_final/verbos_irregulares.h", line 16: Error:  Character can only be used if declared in advance as part of 'Zcharacter table': (ISO Latin1) $c3, i.e., '√'
>     "ser√©" "ser√°s" "ser√°" "seremos" "ser√©is" "ser√°n"
"spanish_final/verbos_irregulares.h", line 16: Error:  Character can only be used if declared in advance as part of 'Zcharacter table': (ISO Latin1) $c3, i.e., '√'
>     "s√©"
"spanish_final/verbos_irregulares.h", line 16: Error:  Character can only be used if declared in advance as part of 'Zcharacter table': (ISO Latin1) $c3, i.e., '√'
>     "s√©" "sea"
"spanish_final/verbos_irregulares.h", line 24: Error:  Character can only be used if declared in advance as part of 'Zcharacter table': (ISO Latin1) $c3, i.e., '√'
>     "estar" "estoy" "est√°s" "est√°"
"spanish_final/verbos_irregulares.h", line 24: Error:  Character can only be used if declared in advance as part of 'Zcharacter table': (ISO Latin1) $c3, i.e., '√'
>     "estar" "estoy" "est√°s" "est√°" "estamos"
"spanish_final/verbos_irregulares.h", line 24: Error:  Character can only be used if declared in advance as part of 'Zcharacter table': (ISO Latin1) $c3, i.e., '√'
>     "estar" "estoy" "est√°s" "est√°" "estamos" "est√°is" "est√°n"
"spanish_final/verbos_irregulares.h", line 24: Error:  Character can only be used if declared in advance as part of 'Zcharacter table': (ISO Latin1) $c3, i.e., '√'
>     "estaba"
"spanish_final/verbos_irregulares.h", line 24: Error:  Character can only be used if declared in advance as part of 'Zcharacter table': (ISO Latin1) $c3, i.e., '√'
>     "estaba" "estabas" "estaba" "est√°bamos" "estabais"
"spanish_final/verbos_irregulares.h", line 24: Error:  Character can only be used if declared in advance as part of 'Zcharacter table': (ISO Latin1) $c3, i.e., '√'
>     "estar√©" "estar√°s"
"spanish_final/verbos_irregulares.h", line 24: Error:  Character can only be used if declared in advance as part of 'Zcharacter table': (ISO Latin1) $c3, i.e., '√'
>     "estar√©" "estar√°s" "estar√°"
"spanish_final/verbos_irregulares.h", line 24: Error:  Character can only be used if declared in advance as part of 'Zcharacter table': (ISO Latin1) $c3, i.e., '√'
>     "estar√©" "estar√°s" "estar√°" "estaremos"
"spanish_final/verbos_irregulares.h", line 24: Error:  Character can only be used if declared in advance as part of 'Zcharacter table': (ISO Latin1) $c3, i.e., '√'
>     "estar√©" "estar√°s" "estar√°" "estaremos" "estar√©is" "estar√°n  ...etc
"spanish_final/verbos_irregulares.h", line 24: Error:  Character can only be used if declared in advance as part of 'Zcharacter table': (ISO Latin1) $c3, i.e., '√'
>     "est√°"
"spanish_final/verbos_irregulares.h", line 24: Error:  Character can only be used if declared in advance as part of 'Zcharacter table': (ISO Latin1) $c3, i.e., '√'
>     "est√°" "est√©"
"spanish_final/verbos_irregulares.h", line 24: Error:  Character can only be used if declared in advance as part of 'Zcharacter table': (ISO Latin1) $c3, i.e., '√'
>     "est√°" "est√©" "estad"
"spanish_final/verbos_irregulares.h", line 24: Error:  Character can only be used if declared in advance as part of 'Zcharacter table': (ISO Latin1) $c3, i.e., '√'
>     "est√°" "est√©" "estad" "est√©n" "estando"
"spanish_final/verbos_irregulares.h", line 32: Error:  Character can only be used if declared in advance as part of 'Zcharacter table': (ISO Latin1) $c3, i.e., '√'
>     "tener" "tengo" "tienes" "tiene" "tenemos" "ten√©is" "tienen"
